,ACC,Predict_time(10),cell_per_block,colorspace,hog_channel,orient,pix_per_cell,training_time
0,0.9683,0.004229999999999999,2,RGB,0,9,8,6.89
1,0.9715,0.00488,2,RGB,1,9,9,4.43
2,0.9733,0.00364,2,HSV,2,9,8,6.67
3,0.9379,0.0034100000000000003,2,HSV,1,9,8,10.75
4,0.9724,0.0030399999999999997,2,HSV,0,9,8,5.9
5,0.9751,0.00173,2,RGB,2,9,8,6.16
6,0.9918,0.00496,2,RGB,ALL,9,8,22.46
7,0.9737,0.0023,2,LUV,0,9,8,4.01
8,0.9701,0.00212,2,LUV,1,9,8,3.82
9,0.9619,0.00198,2,LUV,2,9,8,4.37
10,0.9737,0.00199,2,HLS,0,9,8,3.44
11,0.9692,0.0026,2,YUV,0,9,8,3.58
12,0.9773,0.00271,2,YUV,1,9,8,2.71
13,0.9846,0.0021100000000000003,2,YUV,2,9,8,2.62
14,0.9778,0.0018899999999999998,2,YCrCb,0,9,8,3.68
15,0.9968,0.0019100000000000002,2,YCrCb,ALL,9,8,1.38
16,0.9959,0.0012,2,YUV,ALL,11,16,0.96
17,0.9882,0.00162,2,RGB,ALL,11,16,1.47
18,0.9855,0.00151,2,RGB,ALL,9,16,1.18
19,0.9968,0.00132,2,YCrCb,ALL,11,16,0.93
20,0.9841,0.0015,2,RGB,ALL,9,16,1.21
21,0.9905,0.00193,2,RGB,ALL,32,16,5.76
22,0.9855,0.00133,2,RGB,ALL,16,16,2.26
23,0.9941,0.00114,2,HSV,ALL,11,16,1.04
24,0.9869,0.0011,2,LUV,ALL,11,16,1.25
25,0.9955,0.0016899999999999999,2,HLS,ALL,11,16,1.06
26,0.9986,0.0016300000000000002,2,HLS,ALL,16,16,1.65
27,0.98,0.00118,2,YUV,ALL,16,16,2.9
28,0.9811,0.00109,2,YCrCb,ALL,16,16,2.85
